vgs,vds,irg,
3,1.20E+00,7.63E-04,
3,1.30E+00,8.22E-04,
3,1.40E+00,8.80E-04,
3,1.50E+00,9.37E-04,
3,1.60E+00,9.94E-04,
3,1.70E+00,1.05E-03,
3,1.80E+00,1.10E-03,
3,1.90E+00,1.16E-03,
3,2.00E+00,1.21E-03,
3,2.10E+00,1.26E-03,
3,2.20E+00,1.31E-03,
3,2.30E+00,1.35E-03,
3,2.40E+00,1.40E-03,
3,2.50E+00,1.44E-03,
3,2.60E+00,1.48E-03,
3,2.70E+00,1.52E-03,
3,2.80E+00,1.56E-03,
3,2.90E+00,1.59E-03,
3,3.00E+00,1.62E-03,
3,3.10E+00,1.64E-03,
3,3.20E+00,1.66E-03,
3,3.30E+00,1.67E-03,
3,3.40E+00,1.68E-03,
3,3.50E+00,1.68E-03,
3,3.60E+00,1.69E-03,
3,3.70E+00,1.69E-03,
3,3.80E+00,1.70E-03,
3,3.90E+00,1.70E-03,
3,4.00E+00,1.71E-03,
3,4.10E+00,1.71E-03,
3,4.20E+00,1.72E-03,
3,4.30E+00,1.72E-03,
3,4.40E+00,1.73E-03,
3,4.50E+00,1.73E-03,
3,4.60E+00,1.73E-03,
3,4.70E+00,1.74E-03,
3,4.80E+00,1.74E-03,
3,4.90E+00,1.74E-03,
3,5.00E+00,1.75E-03,
3,5.10E+00,1.75E-03,
3,5.20E+00,1.75E-03,
3,5.30E+00,1.76E-03,
3,5.40E+00,1.76E-03,
3,5.50E+00,1.76E-03,
3,5.60E+00,1.77E-03,
3,5.70E+00,1.77E-03,
3,5.80E+00,1.77E-03,
3,5.90E+00,1.78E-03,
3,6.00E+00,1.78E-03,
3,6.10E+00,1.78E-03,
3,6.20E+00,1.79E-03,
3,6.30E+00,1.79E-03,
3,6.40E+00,1.79E-03,
3,6.50E+00,1.79E-03,
3,6.60E+00,1.80E-03,
3,6.70E+00,1.80E-03,
3,6.80E+00,1.80E-03,
3,6.90E+00,1.80E-03,
3,7.00E+00,1.81E-03,
3,7.10E+00,1.81E-03,
3,7.20E+00,1.81E-03,
3,7.30E+00,1.81E-03,
3,7.40E+00,1.82E-03,
3,7.50E+00,1.82E-03,
3,7.60E+00,1.82E-03,
3,7.70E+00,1.82E-03,
3,7.80E+00,1.83E-03,
3,7.90E+00,1.83E-03,
3,8.00E+00,1.83E-03,
3,8.10E+00,1.83E-03,
3,8.20E+00,1.84E-03,
3,8.30E+00,1.84E-03,
3,8.40E+00,1.84E-03,
3,8.50E+00,1.84E-03,
3,8.60E+00,1.85E-03,
3,8.70E+00,1.85E-03,
3,8.80E+00,1.85E-03,
3,8.90E+00,1.85E-03,
3,9.00E+00,1.85E-03,
3,9.10E+00,1.86E-03,
3,9.20E+00,1.86E-03,
3,9.30E+00,1.86E-03,
3,9.40E+00,1.86E-03,
3,9.50E+00,1.87E-03,
3,9.60E+00,1.87E-03,
3,9.70E+00,1.87E-03,
3,9.80E+00,1.87E-03,
3,9.90E+00,1.87E-03,
3,1.00E+01,1.88E-03,
3,1.01E+01,1.88E-03,
3,1.02E+01,1.88E-03,
3,1.03E+01,1.88E-03,
3,1.04E+01,1.88E-03,
3,1.05E+01,1.89E-03,
3,1.06E+01,1.89E-03,
3,1.07E+01,1.89E-03,
3,1.08E+01,1.89E-03,
3,1.09E+01,1.89E-03,
3,1.10E+01,1.90E-03,
3,1.11E+01,1.90E-03,
3,1.12E+01,1.90E-03,
3,1.13E+01,1.90E-03,
3,1.14E+01,1.90E-03,
3,1.15E+01,1.90E-03,
3,1.16E+01,1.91E-03,
3,1.17E+01,1.91E-03,
3,1.18E+01,1.91E-03,
3,1.19E+01,1.91E-03,
3,1.20E+01,1.91E-03,
3,1.21E+01,1.92E-03,
3,1.22E+01,1.92E-03,
3,1.23E+01,1.92E-03,
3,1.24E+01,1.92E-03,
3,1.25E+01,1.92E-03,
3,1.26E+01,1.92E-03,
3,1.27E+01,1.93E-03,
3,1.28E+01,1.93E-03,
3,1.29E+01,1.93E-03,
3,1.30E+01,1.93E-03,
3,1.31E+01,1.93E-03,
3,1.32E+01,1.93E-03,
3,1.33E+01,1.94E-03,
3,1.34E+01,1.94E-03,
3,1.35E+01,1.94E-03,
3,1.36E+01,1.94E-03,
3,1.37E+01,1.94E-03,
3,1.38E+01,1.95E-03,
3,1.39E+01,1.95E-03,
3,1.40E+01,1.95E-03,
3,1.41E+01,1.95E-03,
3,1.42E+01,1.95E-03,
3,1.43E+01,1.95E-03,
3,1.44E+01,1.95E-03,
3,1.45E+01,1.96E-03,
3,1.46E+01,1.96E-03,
3,1.47E+01,1.96E-03,
3,1.48E+01,1.96E-03,
3,1.49E+01,1.96E-03,
3,1.50E+01,1.96E-03,
6,0.00E+00,-1.89E-14,
6,1.00E-01,8.05E-05,
6,2.00E-01,1.61E-04,
6,3.00E-01,2.41E-04,
6,4.00E-01,3.21E-04,
6,5.00E-01,4.02E-04,
6,6.00E-01,4.82E-04,
6,7.00E-01,5.62E-04,
6,8.00E-01,6.42E-04,
6,9.00E-01,7.21E-04,
6,1.00E+00,8.01E-04,
6,1.10E+00,8.81E-04,
6,1.20E+00,9.60E-04,
6,1.30E+00,1.04E-03,
6,1.40E+00,1.12E-03,
6,1.50E+00,1.20E-03,
6,1.60E+00,1.28E-03,
6,1.70E+00,1.36E-03,
6,1.80E+00,1.44E-03,
6,1.90E+00,1.51E-03,
6,2.00E+00,1.59E-03,
6,2.10E+00,1.67E-03,
6,2.20E+00,1.75E-03,
6,2.30E+00,1.83E-03,
6,2.40E+00,1.91E-03,
6,2.50E+00,1.99E-03,
6,2.60E+00,2.06E-03,
6,2.70E+00,2.14E-03,
6,2.80E+00,2.22E-03,
6,2.90E+00,2.30E-03,
6,3.00E+00,2.37E-03,
6,3.10E+00,2.45E-03,
6,3.20E+00,2.53E-03,
6,3.30E+00,2.61E-03,
6,3.40E+00,2.68E-03,
6,3.50E+00,2.76E-03,
6,3.60E+00,2.84E-03,
6,3.70E+00,2.92E-03,
6,3.80E+00,2.99E-03,
6,3.90E+00,3.07E-03,
6,4.00E+00,3.14E-03,
6,4.10E+00,3.22E-03,
6,4.20E+00,3.30E-03,
6,4.30E+00,3.37E-03,
6,4.40E+00,3.45E-03,
6,4.50E+00,3.52E-03,
6,4.60E+00,3.60E-03,
6,4.70E+00,3.68E-03,
6,4.80E+00,3.75E-03,
6,4.90E+00,3.83E-03,
6,5.00E+00,3.90E-03,
6,5.10E+00,3.98E-03,
6,5.20E+00,4.05E-03,
6,5.30E+00,4.12E-03,
6,5.40E+00,4.20E-03,
6,5.50E+00,4.27E-03,
6,5.60E+00,4.35E-03,
6,5.70E+00,4.42E-03,
6,5.80E+00,4.49E-03,
6,5.90E+00,4.57E-03,
6,6.00E+00,4.64E-03,
6,6.10E+00,4.71E-03,
6,6.20E+00,4.79E-03,
6,6.30E+00,4.86E-03,
6,6.40E+00,4.93E-03,
6,6.50E+00,5.00E-03,
6,6.60E+00,5.07E-03,
6,6.70E+00,5.15E-03,
6,6.80E+00,5.22E-03,
6,6.90E+00,5.29E-03,
6,7.00E+00,5.36E-03,
6,7.10E+00,5.43E-03,
6,7.20E+00,5.50E-03,
6,7.30E+00,5.57E-03,
6,7.40E+00,5.64E-03,
6,7.50E+00,5.71E-03,
6,7.60E+00,5.78E-03,
6,7.70E+00,5.85E-03,
6,7.80E+00,5.92E-03,
6,7.90E+00,5.99E-03,
6,8.00E+00,6.05E-03,
6,8.10E+00,6.12E-03,
6,8.20E+00,6.19E-03,
6,8.30E+00,6.26E-03,
6,8.40E+00,6.32E-03,
6,8.50E+00,6.39E-03,
6,8.60E+00,6.46E-03,
6,8.70E+00,6.52E-03,
6,8.80E+00,6.59E-03,
6,8.90E+00,6.65E-03,
6,9.00E+00,6.72E-03,
6,9.10E+00,6.78E-03,
6,9.20E+00,6.84E-03,
6,9.30E+00,6.91E-03,
6,9.40E+00,6.97E-03,
