vbs,vgs,irg
0,1.99E+00,5.12E-04
0,2.00E+00,5.20E-04
-2,0.00E+00,2.03E-12
-2,1.00E-02,2.05E-12
-2,2.00E-02,2.07E-12
-2,3.00E-02,2.09E-12
-2,4.00E-02,2.11E-12
-2,5.00E-02,2.13E-12
-2,6.00E-02,2.15E-12
-2,7.00E-02,2.17E-12
-2,8.00E-02,2.19E-12
-2,9.00E-02,2.21E-12
-2,1.00E-01,2.23E-12
-2,1.10E-01,2.25E-12
-2,1.20E-01,2.27E-12
-2,1.30E-01,2.29E-12
-2,1.40E-01,2.31E-12
-2,1.50E-01,2.33E-12
-2,1.60E-01,2.35E-12
-2,1.70E-01,2.37E-12
-2,1.80E-01,2.39E-12
-2,1.90E-01,2.41E-12
-2,2.00E-01,2.43E-12
-2,2.10E-01,2.45E-12
-2,2.20E-01,2.47E-12
-2,2.30E-01,2.49E-12
-2,2.40E-01,2.51E-12
-2,2.50E-01,2.53E-12
-2,2.60E-01,2.55E-12
-2,2.70E-01,2.57E-12
-2,2.80E-01,2.59E-12
-2,2.90E-01,2.61E-12
-2,3.00E-01,2.63E-12
-2,3.10E-01,2.65E-12
-2,3.20E-01,2.67E-12
-2,3.30E-01,2.69E-12
-2,3.40E-01,2.71E-12
-2,3.50E-01,2.73E-12
-2,3.60E-01,2.75E-12
-2,3.70E-01,2.77E-12
-2,3.80E-01,2.79E-12
-2,3.90E-01,2.81E-12
-2,4.00E-01,2.83E-12
-2,4.10E-01,2.85E-12
-2,4.20E-01,2.87E-12
-2,4.30E-01,2.89E-12
-2,4.40E-01,2.91E-12
-2,4.50E-01,2.93E-12
-2,4.60E-01,2.95E-12
-2,4.70E-01,2.97E-12
-2,4.80E-01,2.99E-12
-2,4.90E-01,3.01E-12
-2,5.00E-01,3.03E-12
-2,5.10E-01,3.05E-12
-2,5.20E-01,3.07E-12
-2,5.30E-01,3.09E-12
-2,5.40E-01,3.11E-12
-2,5.50E-01,3.13E-12
-2,5.60E-01,3.15E-12
-2,5.70E-01,3.17E-12
-2,5.80E-01,3.19E-12
-2,5.90E-01,3.21E-12
-2,6.00E-01,3.23E-12
-2,6.10E-01,3.25E-12
-2,6.20E-01,3.27E-12
-2,6.30E-01,3.29E-12
-2,6.40E-01,3.31E-12
-2,6.50E-01,3.33E-12
-2,6.60E-01,3.35E-12
-2,6.70E-01,3.37E-12
-2,6.80E-01,3.40E-12
-2,6.90E-01,3.42E-12
-2,7.00E-01,3.44E-12
-2,7.10E-01,3.46E-12
-2,7.20E-01,3.48E-12
-2,7.30E-01,3.50E-12
-2,7.40E-01,3.53E-12
-2,7.50E-01,3.55E-12
-2,7.60E-01,3.58E-12
-2,7.70E-01,3.60E-12
-2,7.80E-01,3.63E-12
-2,7.90E-01,3.66E-12
-2,8.00E-01,3.70E-12
-2,8.10E-01,3.74E-12
-2,8.20E-01,3.78E-12
-2,8.30E-01,3.84E-12
-2,8.40E-01,3.90E-12
-2,8.50E-01,3.97E-12
-2,8.60E-01,4.06E-12
-2,8.70E-01,4.17E-12
-2,8.80E-01,4.30E-12
-2,8.90E-01,4.47E-12
-2,9.00E-01,4.67E-12
-2,9.10E-01,4.93E-12
-2,9.20E-01,5.26E-12
-2,9.30E-01,5.68E-12
-2,9.40E-01,6.22E-12
-2,9.50E-01,6.90E-12
-2,9.60E-01,7.77E-12
-2,9.70E-01,8.89E-12
-2,9.80E-01,1.03E-11
-2,9.90E-01,1.22E-11
-2,1.00E+00,1.45E-11
-2,1.01E+00,1.75E-11
-2,1.02E+00,2.14E-11
-2,1.03E+00,2.64E-11
-2,1.04E+00,3.29E-11
-2,1.05E+00,4.12E-11
-2,1.06E+00,5.18E-11
-2,1.07E+00,6.55E-11
-2,1.08E+00,8.31E-11
-2,1.09E+00,1.06E-10
-2,1.10E+00,1.35E-10
-2,1.11E+00,1.73E-10
-2,1.12E+00,2.21E-10
-2,1.13E+00,2.83E-10
-2,1.14E+00,3.63E-10
-2,1.15E+00,4.66E-10
-2,1.16E+00,5.98E-10
-2,1.17E+00,7.69E-10
-2,1.18E+00,9.88E-10
-2,1.19E+00,1.27E-09
-2,1.20E+00,1.63E-09
-2,1.21E+00,2.10E-09
-2,1.22E+00,2.70E-09
-2,1.23E+00,3.48E-09
-2,1.24E+00,4.47E-09
-2,1.25E+00,5.76E-09
-2,1.26E+00,7.41E-09
-2,1.27E+00,9.53E-09
-2,1.28E+00,1.23E-08
-2,1.29E+00,1.58E-08
