vbs,vgs,irg,sqrt(irg)
0,1.35E+00,1.45E-04,0.01204306855
0,1.36E+00,1.49E-04,0.01221288254
0,1.37E+00,1.53E-04,0.01238253609
0,1.38E+00,1.58E-04,0.01255202772
0,1.39E+00,1.62E-04,0.01272135999
0,1.40E+00,1.66E-04,0.01289053141
0,1.41E+00,1.71E-04,0.01305955206
0,1.42E+00,1.75E-04,0.01322841638
0,1.43E+00,1.79E-04,0.01339712656
0,1.44E+00,1.84E-04,0.01356568465
0,1.45E+00,1.89E-04,0.01373409262
0,1.46E+00,1.93E-04,0.01390235232
0,1.47E+00,1.98E-04,0.01407046197
0,1.48E+00,2.03E-04,0.01423843039
0,1.49E+00,2.08E-04,0.01440624864
0,1.50E+00,2.12E-04,0.01457392535
0,1.51E+00,2.17E-04,0.01474145854
0,1.52E+00,2.22E-04,0.01490884972
0,1.53E+00,2.27E-04,0.01507610361
0,1.54E+00,2.32E-04,0.01524321488
0,1.55E+00,2.37E-04,0.01541018819
0,1.56E+00,2.43E-04,0.01557702475
0,1.57E+00,2.48E-04,0.01574372256
0,1.58E+00,2.53E-04,0.01591028912
0,1.59E+00,2.58E-04,0.01607671919
0,1.60E+00,2.64E-04,0.01624301388
0,1.61E+00,2.69E-04,0.01640918036
0,1.62E+00,2.75E-04,0.01657521342
0,1.63E+00,2.80E-04,0.01674111406
0,1.64E+00,2.86E-04,0.01690688617
0,1.65E+00,2.91E-04,0.01707253057
0,1.66E+00,2.97E-04,0.01723804513
0,1.67E+00,3.03E-04,0.0174034307
0,1.68E+00,3.09E-04,0.01756869375
0,1.69E+00,3.14E-04,0.01773382643
0,1.70E+00,3.20E-04,0.01789883795
0,1.71E+00,3.26E-04,0.01806372331
0,1.72E+00,3.32E-04,0.01822848321
0,1.73E+00,3.38E-04,0.01839312372
0,1.74E+00,3.44E-04,0.01855763994
0,1.75E+00,3.51E-04,0.01872203515
0,1.76E+00,3.57E-04,0.01888630986
0,1.77E+00,3.63E-04,0.01905046194
0,1.78E+00,3.69E-04,0.01921449713
0,1.79E+00,3.76E-04,0.01937841325
0,1.80E+00,3.82E-04,0.01954220817
0,1.81E+00,3.88E-04,0.01970588745
0,1.82E+00,3.95E-04,0.01986944891
0,1.83E+00,4.01E-04,0.02003289545
0,1.84E+00,4.08E-04,0.02019622489
0,1.85E+00,4.15E-04,0.02035943762
0,1.86E+00,4.21E-04,0.02052253639
0,1.87E+00,4.28E-04,0.02068551909
0,1.88E+00,4.35E-04,0.02084839083
0,1.89E+00,4.41E-04,0.02101114704
0,1.90E+00,4.48E-04,0.02117379276
0,1.91E+00,4.55E-04,0.02133632349
0,1.92E+00,4.62E-04,0.02149874415
0,1.93E+00,4.69E-04,0.02166105261
0,1.94E+00,4.76E-04,0.02182324907
0,1.95E+00,4.83E-04,0.02198533602
0,1.96E+00,4.91E-04,0.02214731361
0,1.97E+00,4.98E-04,0.02230917972
0,1.98E+00,5.05E-04,0.02247093901
0,1.99E+00,5.12E-04,0.02263258933
0,2.00E+00,5.20E-04,0.02279413302
-2,0.00E+00,2.03E-12,0.000001425552524
-2,1.00E-02,2.05E-12,0.000001432550174
-2,2.00E-02,2.07E-12,0.000001439513807
-2,3.00E-02,2.09E-12,0.000001446443915
-2,4.00E-02,2.11E-12,0.000001453340979
-2,5.00E-02,2.13E-12,0.000001460205465
-2,6.00E-02,2.15E-12,0.000001467037832
-2,7.00E-02,2.17E-12,0.000001473838526
-2,8.00E-02,2.19E-12,0.000001480607983
-2,9.00E-02,2.21E-12,0.000001487346631
-2,1.00E-01,2.23E-12,0.000001494054885
-2,1.10E-01,2.25E-12,0.000001500733154
-2,1.20E-01,2.27E-12,0.000001507381836
-2,1.30E-01,2.29E-12,0.000001514001321
-2,1.40E-01,2.31E-12,0.00000152059199
-2,1.50E-01,2.33E-12,0.000001527153889
-2,1.60E-01,2.35E-12,0.000001533688365
-2,1.70E-01,2.37E-12,0.000001540194793
-2,1.80E-01,2.39E-12,0.000001546673851
-2,1.90E-01,2.41E-12,0.000001553125558
-2,2.00E-01,2.43E-12,0.000001559550897
-2,2.10E-01,2.45E-12,0.000001565949871
-2,2.20E-01,2.47E-12,0.000001572322804
-2,2.30E-01,2.49E-12,0.000001578670327
-2,2.40E-01,2.51E-12,0.000001584992114
-2,2.50E-01,2.53E-12,0.000001591288786
-2,2.60E-01,2.55E-12,0.00000159756064
-2,2.70E-01,2.57E-12,0.000001603807969
-2,2.80E-01,2.59E-12,0.000001610030745
-2,2.90E-01,2.61E-12,0.000001616229872
-2,3.00E-01,2.63E-12,0.000001622405313
-2,3.10E-01,2.65E-12,0.000001628557644
-2,3.20E-01,2.67E-12,0.000001634686514
