vsg,vsd,irg
3,2.30E+00,5.12E-04
3,2.40E+00,5.14E-04
3,2.50E+00,5.15E-04
3,2.60E+00,5.15E-04
3,2.70E+00,5.16E-04
3,2.80E+00,5.17E-04
3,2.90E+00,5.18E-04
3,3.00E+00,5.18E-04
3,3.10E+00,5.19E-04
3,3.20E+00,5.20E-04
3,3.30E+00,5.21E-04
3,3.40E+00,5.21E-04
3,3.50E+00,5.22E-04
3,3.60E+00,5.23E-04
3,3.70E+00,5.24E-04
3,3.80E+00,5.24E-04
3,3.90E+00,5.25E-04
3,4.00E+00,5.26E-04
3,4.10E+00,5.26E-04
3,4.20E+00,5.27E-04
3,4.30E+00,5.28E-04
3,4.40E+00,5.28E-04
3,4.50E+00,5.29E-04
3,4.60E+00,5.30E-04
3,4.70E+00,5.30E-04
3,4.80E+00,5.31E-04
3,4.90E+00,5.32E-04
3,5.00E+00,5.32E-04
3,5.10E+00,5.33E-04
3,5.20E+00,5.34E-04
3,5.30E+00,5.34E-04
3,5.40E+00,5.35E-04
3,5.50E+00,5.36E-04
3,5.60E+00,5.36E-04
3,5.70E+00,5.37E-04
3,5.80E+00,5.37E-04
3,5.90E+00,5.38E-04
3,6.00E+00,5.39E-04
3,6.10E+00,5.39E-04
3,6.20E+00,5.40E-04
3,6.30E+00,5.41E-04
3,6.40E+00,5.41E-04
3,6.50E+00,5.42E-04
3,6.60E+00,5.42E-04
3,6.70E+00,5.43E-04
3,6.80E+00,5.44E-04
3,6.90E+00,5.44E-04
3,7.00E+00,5.45E-04
3,7.10E+00,5.45E-04
3,7.20E+00,5.46E-04
3,7.30E+00,5.46E-04
3,7.40E+00,5.47E-04
3,7.50E+00,5.48E-04
3,7.60E+00,5.48E-04
3,7.70E+00,5.49E-04
3,7.80E+00,5.49E-04
3,7.90E+00,5.50E-04
3,8.00E+00,5.51E-04
3,8.10E+00,5.51E-04
3,8.20E+00,5.52E-04
3,8.30E+00,5.52E-04
3,8.40E+00,5.53E-04
3,8.50E+00,5.53E-04
3,8.60E+00,5.54E-04
3,8.70E+00,5.54E-04
3,8.80E+00,5.55E-04
3,8.90E+00,5.56E-04
3,9.00E+00,5.56E-04
3,9.10E+00,5.57E-04
3,9.20E+00,5.57E-04
3,9.30E+00,5.58E-04
3,9.40E+00,5.58E-04
3,9.50E+00,5.59E-04
3,9.60E+00,5.59E-04
3,9.70E+00,5.60E-04
3,9.80E+00,5.61E-04
3,9.90E+00,5.61E-04
3,1.00E+01,5.62E-04
3,1.01E+01,5.62E-04
3,1.02E+01,5.63E-04
3,1.03E+01,5.63E-04
3,1.04E+01,5.64E-04
3,1.05E+01,5.64E-04
3,1.06E+01,5.65E-04
3,1.07E+01,5.65E-04
3,1.08E+01,5.66E-04
3,1.09E+01,5.66E-04
3,1.10E+01,5.67E-04
3,1.11E+01,5.67E-04
3,1.12E+01,5.68E-04
3,1.13E+01,5.69E-04
3,1.14E+01,5.69E-04
3,1.15E+01,5.70E-04
3,1.16E+01,5.70E-04
3,1.17E+01,5.71E-04
3,1.18E+01,5.71E-04
3,1.19E+01,5.72E-04
3,1.20E+01,5.72E-04
3,1.21E+01,5.73E-04
3,1.22E+01,5.73E-04
3,1.23E+01,5.74E-04
3,1.24E+01,5.74E-04
3,1.25E+01,5.75E-04
3,1.26E+01,5.75E-04
3,1.27E+01,5.76E-04
3,1.28E+01,5.76E-04
3,1.29E+01,5.77E-04
3,1.30E+01,5.77E-04
3,1.31E+01,5.78E-04
3,1.32E+01,5.78E-04
3,1.33E+01,5.79E-04
3,1.34E+01,5.79E-04
3,1.35E+01,5.80E-04
3,1.36E+01,5.80E-04
3,1.37E+01,5.81E-04
3,1.38E+01,5.81E-04
3,1.39E+01,5.82E-04
3,1.40E+01,5.82E-04
3,1.41E+01,5.83E-04
3,1.42E+01,5.83E-04
3,1.43E+01,5.84E-04
3,1.44E+01,5.84E-04
3,1.45E+01,5.85E-04
3,1.46E+01,5.85E-04
3,1.47E+01,5.86E-04
3,1.48E+01,5.86E-04
3,1.49E+01,5.87E-04
3,1.50E+01,5.87E-04
6,0.00E+00,-1.85E-15
6,1.00E-01,5.03E-05
6,2.00E-01,1.00E-04
6,3.00E-01,1.50E-04
6,4.00E-01,2.00E-04
6,5.00E-01,2.49E-04
6,6.00E-01,2.98E-04
6,7.00E-01,3.46E-04
6,8.00E-01,3.95E-04
6,9.00E-01,4.43E-04
6,1.00E+00,4.91E-04
6,1.10E+00,5.38E-04
6,1.20E+00,5.85E-04
6,1.30E+00,6.32E-04
6,1.40E+00,6.78E-04
