vbs,vsg,irg
0,1.99E+00,1.70E-04
0,2.00E+00,1.73E-04
2,0.00E+00,2.03E-12
2,1.00E-02,2.05E-12
2,2.00E-02,2.07E-12
2,3.00E-02,2.09E-12
2,4.00E-02,2.11E-12
2,5.00E-02,2.13E-12
2,6.00E-02,2.15E-12
2,7.00E-02,2.17E-12
2,8.00E-02,2.19E-12
2,9.00E-02,2.21E-12
2,1.00E-01,2.23E-12
2,1.10E-01,2.25E-12
2,1.20E-01,2.27E-12
2,1.30E-01,2.29E-12
2,1.40E-01,2.31E-12
2,1.50E-01,2.33E-12
2,1.60E-01,2.35E-12
2,1.70E-01,2.37E-12
2,1.80E-01,2.39E-12
2,1.90E-01,2.41E-12
2,2.00E-01,2.43E-12
2,2.10E-01,2.45E-12
2,2.20E-01,2.47E-12
2,2.30E-01,2.49E-12
2,2.40E-01,2.51E-12
2,2.50E-01,2.53E-12
2,2.60E-01,2.55E-12
2,2.70E-01,2.57E-12
2,2.80E-01,2.59E-12
2,2.90E-01,2.61E-12
2,3.00E-01,2.63E-12
2,3.10E-01,2.65E-12
2,3.20E-01,2.67E-12
2,3.30E-01,2.69E-12
2,3.40E-01,2.71E-12
2,3.50E-01,2.73E-12
2,3.60E-01,2.75E-12
2,3.70E-01,2.77E-12
2,3.80E-01,2.79E-12
2,3.90E-01,2.81E-12
2,4.00E-01,2.83E-12
2,4.10E-01,2.85E-12
2,4.20E-01,2.87E-12
2,4.30E-01,2.89E-12
2,4.40E-01,2.91E-12
2,4.50E-01,2.93E-12
2,4.60E-01,2.95E-12
2,4.70E-01,2.97E-12
2,4.80E-01,2.99E-12
2,4.90E-01,3.01E-12
2,5.00E-01,3.04E-12
2,5.10E-01,3.06E-12
2,5.20E-01,3.08E-12
2,5.30E-01,3.10E-12
2,5.40E-01,3.12E-12
2,5.50E-01,3.14E-12
2,5.60E-01,3.17E-12
2,5.70E-01,3.19E-12
2,5.80E-01,3.22E-12
2,5.90E-01,3.25E-12
2,6.00E-01,3.28E-12
2,6.10E-01,3.32E-12
2,6.20E-01,3.36E-12
2,6.30E-01,3.41E-12
2,6.40E-01,3.46E-12
2,6.50E-01,3.53E-12
2,6.60E-01,3.61E-12
2,6.70E-01,3.71E-12
2,6.80E-01,3.84E-12
2,6.90E-01,4.00E-12
2,7.00E-01,4.21E-12
2,7.10E-01,4.47E-12
2,7.20E-01,4.81E-12
2,7.30E-01,5.26E-12
2,7.40E-01,5.84E-12
2,7.50E-01,6.59E-12
2,7.60E-01,7.57E-12
2,7.70E-01,8.86E-12
2,7.80E-01,1.06E-11
2,7.90E-01,1.28E-11
2,8.00E-01,1.57E-11
2,8.10E-01,1.95E-11
2,8.20E-01,2.45E-11
2,8.30E-01,3.11E-11
2,8.40E-01,3.98E-11
2,8.50E-01,5.12E-11
2,8.60E-01,6.62E-11
2,8.70E-01,8.59E-11
2,8.80E-01,1.12E-10
2,8.90E-01,1.46E-10
2,9.00E-01,1.91E-10
2,9.10E-01,2.50E-10
2,9.20E-01,3.28E-10
2,9.30E-01,4.30E-10
2,9.40E-01,5.64E-10
2,9.50E-01,7.41E-10
2,9.60E-01,9.74E-10
2,9.70E-01,1.28E-09
2,9.80E-01,1.68E-09
2,9.90E-01,2.21E-09
2,1.00E+00,2.91E-09
2,1.01E+00,3.83E-09
2,1.02E+00,5.03E-09
2,1.03E+00,6.62E-09
2,1.04E+00,8.70E-09
2,1.05E+00,1.14E-08
2,1.06E+00,1.51E-08
2,1.07E+00,1.98E-08
2,1.08E+00,2.61E-08
2,1.09E+00,3.43E-08
2,1.10E+00,4.51E-08
2,1.11E+00,5.93E-08
2,1.12E+00,7.80E-08
2,1.13E+00,1.03E-07
2,1.14E+00,1.35E-07
2,1.15E+00,1.77E-07
2,1.16E+00,2.43E-07
2,1.17E+00,3.87E-07
2,1.18E+00,5.65E-07
2,1.19E+00,7.75E-07
2,1.20E+00,1.02E-06
2,1.21E+00,1.30E-06
2,1.22E+00,1.61E-06
2,1.23E+00,1.95E-06
2,1.24E+00,2.33E-06
2,1.25E+00,2.74E-06
2,1.26E+00,3.18E-06
2,1.27E+00,3.65E-06
2,1.28E+00,4.16E-06
2,1.29E+00,4.70E-06
2,1.30E+00,5.27E-06
2,1.31E+00,5.88E-06
2,1.32E+00,6.52E-06
2,1.33E+00,7.15E-06
2,1.34E+00,7.78E-06
2,1.35E+00,8.43E-06
2,1.36E+00,9.11E-06
2,1.37E+00,9.81E-06
2,1.38E+00,1.05E-05
2,1.39E+00,1.13E-05
2,1.40E+00,1.20E-05
2,1.41E+00,1.28E-05
2,1.42E+00,1.37E-05
2,1.43E+00,1.45E-05
2,1.44E+00,1.53E-05
2,1.45E+00,1.62E-05
2,1.46E+00,1.71E-05
2,1.47E+00,1.81E-05
2,1.48E+00,1.90E-05
2,1.49E+00,2.00E-05
2,1.50E+00,2.10E-05
2,1.51E+00,2.20E-05
2,1.52E+00,2.30E-05
2,1.53E+00,2.41E-05
2,1.54E+00,2.52E-05
2,1.55E+00,2.62E-05
2,1.56E+00,2.74E-05
2,1.57E+00,2.85E-05
2,1.58E+00,2.97E-05
2,1.59E+00,3.08E-05
2,1.60E+00,3.21E-05
2,1.61E+00,3.33E-05
2,1.62E+00,3.45E-05
2,1.63E+00,3.58E-05
2,1.64E+00,3.71E-05
2,1.65E+00,3.84E-05
2,1.66E+00,3.97E-05
2,1.67E+00,4.10E-05
2,1.68E+00,4.24E-05
2,1.69E+00,4.38E-05
2,1.70E+00,4.52E-05
2,1.71E+00,4.66E-05
2,1.72E+00,4.80E-05
2,1.73E+00,4.95E-05
2,1.74E+00,5.10E-05
2,1.75E+00,5.25E-05
2,1.76E+00,5.40E-05
2,1.77E+00,5.56E-05
2,1.78E+00,5.71E-05
2,1.79E+00,5.87E-05
2,1.80E+00,6.03E-05
2,1.81E+00,6.19E-05
2,1.82E+00,6.35E-05
2,1.83E+00,6.52E-05
2,1.84E+00,6.69E-05
2,1.85E+00,6.86E-05
2,1.86E+00,7.03E-05
2,1.87E+00,7.20E-05
2,1.88E+00,7.37E-05
2,1.89E+00,7.55E-05
2,1.90E+00,7.73E-05
2,1.91E+00,7.91E-05
2,1.92E+00,8.09E-05
2,1.93E+00,8.28E-05
2,1.94E+00,8.46E-05
2,1.95E+00,8.65E-05
2,1.96E+00,8.84E-05
2,1.97E+00,9.03E-05
2,1.98E+00,9.22E-05
2,1.99E+00,9.42E-05
2,2.00E+00,9.61E-05
4,0.00E+00,4.03E-12
4,1.00E-02,4.05E-12
4,2.00E-02,4.07E-12
4,3.00E-02,4.09E-12
4,4.00E-02,4.11E-12
4,5.00E-02,4.13E-12
4,6.00E-02,4.15E-12
4,7.00E-02,4.17E-12
4,8.00E-02,4.19E-12
4,9.00E-02,4.21E-12
4,1.00E-01,4.23E-12
4,1.10E-01,4.25E-12
4,1.20E-01,4.27E-12
4,1.30E-01,4.29E-12
4,1.40E-01,4.31E-12
4,1.50E-01,4.33E-12
4,1.60E-01,4.35E-12
4,1.70E-01,4.37E-12
4,1.80E-01,4.39E-12
4,1.90E-01,4.41E-12
4,2.00E-01,4.43E-12
4,2.10E-01,4.45E-12
4,2.20E-01,4.47E-12
4,2.30E-01,4.49E-12
4,2.40E-01,4.51E-12
4,2.50E-01,4.53E-12
4,2.60E-01,4.55E-12
4,2.70E-01,4.57E-12
4,2.80E-01,4.59E-12
4,2.90E-01,4.61E-12
4,3.00E-01,4.63E-12
4,3.10E-01,4.65E-12
4,3.20E-01,4.67E-12
4,3.30E-01,4.69E-12
4,3.40E-01,4.71E-12
4,3.50E-01,4.73E-12
4,3.60E-01,4.75E-12
4,3.70E-01,4.77E-12
4,3.80E-01,4.79E-12
4,3.90E-01,4.81E-12
4,4.00E-01,4.83E-12
4,4.10E-01,4.85E-12
4,4.20E-01,4.87E-12
4,4.30E-01,4.89E-12
4,4.40E-01,4.91E-12
4,4.50E-01,4.93E-12
4,4.60E-01,4.95E-12
4,4.70E-01,4.97E-12
4,4.80E-01,4.99E-12
4,4.90E-01,5.01E-12
4,5.00E-01,5.03E-12
4,5.10E-01,5.05E-12
4,5.20E-01,5.07E-12
4,5.30E-01,5.09E-12
4,5.40E-01,5.11E-12
4,5.50E-01,5.13E-12
4,5.60E-01,5.15E-12
4,5.70E-01,5.17E-12
4,5.80E-01,5.19E-12
4,5.90E-01,5.21E-12
4,6.00E-01,5.23E-12
4,6.10E-01,5.25E-12
4,6.20E-01,5.27E-12
4,6.30E-01,5.29E-12
