vsg,vsd,irg
1,1.74E+00,1.38E-05
1,1.75E+00,1.38E-05
1,1.76E+00,1.39E-05
1,1.77E+00,1.39E-05
1,1.78E+00,1.39E-05
1,1.79E+00,1.39E-05
1,1.80E+00,1.39E-05
1,1.81E+00,1.39E-05
1,1.82E+00,1.39E-05
1,1.83E+00,1.39E-05
1,1.84E+00,1.39E-05
1,1.85E+00,1.40E-05
1,1.86E+00,1.40E-05
1,1.87E+00,1.40E-05
1,1.88E+00,1.40E-05
1,1.89E+00,1.40E-05
1,1.90E+00,1.40E-05
1,1.91E+00,1.40E-05
1,1.92E+00,1.40E-05
1,1.93E+00,1.40E-05
1,1.94E+00,1.40E-05
1,1.95E+00,1.41E-05
1,1.96E+00,1.41E-05
1,1.97E+00,1.41E-05
1,1.98E+00,1.41E-05
1,1.99E+00,1.41E-05
1,2.00E+00,1.41E-05
1,2.01E+00,1.41E-05
1,2.02E+00,1.41E-05
1,2.03E+00,1.41E-05
1,2.04E+00,1.41E-05
1,2.05E+00,1.42E-05
1,2.06E+00,1.42E-05
1,2.07E+00,1.42E-05
1,2.08E+00,1.42E-05
1,2.09E+00,1.42E-05
1,2.10E+00,1.42E-05
1,2.11E+00,1.42E-05
1,2.12E+00,1.42E-05
1,2.13E+00,1.42E-05
1,2.14E+00,1.42E-05
1,2.15E+00,1.43E-05
1,2.16E+00,1.43E-05
1,2.17E+00,1.43E-05
1,2.18E+00,1.43E-05
1,2.19E+00,1.43E-05
1,2.20E+00,1.43E-05
1,2.21E+00,1.43E-05
1,2.22E+00,1.43E-05
1,2.23E+00,1.43E-05
1,2.24E+00,1.43E-05
1,2.25E+00,1.43E-05
1,2.26E+00,1.44E-05
1,2.27E+00,1.44E-05
1,2.28E+00,1.44E-05
1,2.29E+00,1.44E-05
1,2.30E+00,1.44E-05
1,2.31E+00,1.44E-05
1,2.32E+00,1.44E-05
1,2.33E+00,1.44E-05
1,2.34E+00,1.44E-05
1,2.35E+00,1.44E-05
1,2.36E+00,1.44E-05
1,2.37E+00,1.45E-05
1,2.38E+00,1.45E-05
1,2.39E+00,1.45E-05
1,2.40E+00,1.45E-05
1,2.41E+00,1.45E-05
1,2.42E+00,1.45E-05
1,2.43E+00,1.45E-05
1,2.44E+00,1.45E-05
1,2.45E+00,1.45E-05
1,2.46E+00,1.45E-05
1,2.47E+00,1.45E-05
1,2.48E+00,1.46E-05
1,2.49E+00,1.46E-05
1,2.50E+00,1.46E-05
1,2.51E+00,1.46E-05
1,2.52E+00,1.46E-05
1,2.53E+00,1.46E-05
1,2.54E+00,1.46E-05
1,2.55E+00,1.46E-05
1,2.56E+00,1.46E-05
1,2.57E+00,1.46E-05
1,2.58E+00,1.46E-05
1,2.59E+00,1.47E-05
1,2.60E+00,1.47E-05
1,2.61E+00,1.47E-05
1,2.62E+00,1.47E-05
1,2.63E+00,1.47E-05
1,2.64E+00,1.47E-05
1,2.65E+00,1.47E-05
1,2.66E+00,1.47E-05
1,2.67E+00,1.47E-05
1,2.68E+00,1.47E-05
1,2.69E+00,1.47E-05
1,2.70E+00,1.47E-05
1,2.71E+00,1.48E-05
1,2.72E+00,1.48E-05
1,2.73E+00,1.48E-05
1,2.74E+00,1.48E-05
1,2.75E+00,1.48E-05
1,2.76E+00,1.48E-05
1,2.77E+00,1.48E-05
1,2.78E+00,1.48E-05
1,2.79E+00,1.48E-05
1,2.80E+00,1.48E-05
1,2.81E+00,1.48E-05
1,2.82E+00,1.48E-05
1,2.83E+00,1.49E-05
1,2.84E+00,1.49E-05
1,2.85E+00,1.49E-05
1,2.86E+00,1.49E-05
1,2.87E+00,1.49E-05
1,2.88E+00,1.49E-05
1,2.89E+00,1.49E-05
1,2.90E+00,1.49E-05
1,2.91E+00,1.49E-05
1,2.92E+00,1.49E-05
1,2.93E+00,1.49E-05
1,2.94E+00,1.49E-05
1,2.95E+00,1.49E-05
1,2.96E+00,1.50E-05
1,2.97E+00,1.50E-05
1,2.98E+00,1.50E-05
1,2.99E+00,1.50E-05
1,3.00E+00,1.50E-05
1,3.01E+00,1.50E-05
1,3.02E+00,1.50E-05
1,3.03E+00,1.50E-05
1,3.04E+00,1.50E-05
1,3.05E+00,1.50E-05
1,3.06E+00,1.50E-05
1,3.07E+00,1.50E-05
1,3.08E+00,1.51E-05
1,3.09E+00,1.51E-05
1,3.10E+00,1.51E-05
1,3.11E+00,1.51E-05
1,3.12E+00,1.51E-05
1,3.13E+00,1.51E-05
1,3.14E+00,1.51E-05
1,3.15E+00,1.51E-05
1,3.16E+00,1.51E-05
1,3.17E+00,1.51E-05
1,3.18E+00,1.51E-05
1,3.19E+00,1.51E-05
1,3.20E+00,1.51E-05
1,3.21E+00,1.52E-05
1,3.22E+00,1.52E-05
1,3.23E+00,1.52E-05
1,3.24E+00,1.52E-05
1,3.25E+00,1.52E-05
1,3.26E+00,1.52E-05
1,3.27E+00,1.52E-05
1,3.28E+00,1.52E-05
1,3.29E+00,1.52E-05
1,3.30E+00,1.52E-05
1,3.31E+00,1.52E-05
1,3.32E+00,1.52E-05
1,3.33E+00,1.52E-05
1,3.34E+00,1.52E-05
1,3.35E+00,1.53E-05
1,3.36E+00,1.53E-05
1,3.37E+00,1.53E-05
1,3.38E+00,1.53E-05
1,3.39E+00,1.53E-05
1,3.40E+00,1.53E-05
1,3.41E+00,1.53E-05
