vbs,vsg,irg,sqrt(irg)
0,1.34E+00,4.65E-05,0.006818094309
0,1.35E+00,4.78E-05,0.006917294992
0,1.36E+00,4.92E-05,0.007016364443
0,1.37E+00,5.06E-05,0.007115303929
0,1.38E+00,5.20E-05,0.007214116023
0,1.39E+00,5.35E-05,0.007312801789
0,1.40E+00,5.49E-05,0.007411364247
0,1.41E+00,5.64E-05,0.007509804258
0,1.42E+00,5.79E-05,0.00760812329
0,1.43E+00,5.94E-05,0.007706323378
0,1.44E+00,6.09E-05,0.007804406448
0,1.45E+00,6.24E-05,0.007902373694
0,1.46E+00,6.40E-05,0.008000226247
0,1.47E+00,6.56E-05,0.008097965794
0,1.48E+00,6.72E-05,0.008195593938
0,1.49E+00,6.88E-05,0.008293112202
0,1.50E+00,7.04E-05,0.008390521438
0,1.51E+00,7.20E-05,0.008487823042
0,1.52E+00,7.37E-05,0.008585018346
0,1.53E+00,7.54E-05,0.008682109191
0,1.54E+00,7.71E-05,0.008779095625
0,1.55E+00,7.88E-05,0.008875979383
0,1.56E+00,8.05E-05,0.008972761559
0,1.57E+00,8.23E-05,0.009069443754
0,1.58E+00,8.40E-05,0.009166026402
0,1.59E+00,8.58E-05,0.009262510459
0,1.60E+00,8.76E-05,0.009358897371
0,1.61E+00,8.94E-05,0.009455188523
0,1.62E+00,9.12E-05,0.009551383669
0,1.63E+00,9.31E-05,0.009647484646
0,1.64E+00,9.49E-05,0.0097434927
0,1.65E+00,9.68E-05,0.009839408011
0,1.66E+00,9.87E-05,0.009935231754
0,1.67E+00,1.01E-04,0.01003096705
0,1.68E+00,1.03E-04,0.01012660851
0,1.69E+00,1.04E-04,0.0102221622
0,1.70E+00,1.06E-04,0.01031763054
0,1.71E+00,1.08E-04,0.01041300629
0,1.72E+00,1.10E-04,0.01050829672
0,1.73E+00,1.12E-04,0.01060350414
0,1.74E+00,1.14E-04,0.01069862608
0,1.75E+00,1.17E-04,0.01079366481
0,1.76E+00,1.19E-04,0.01088861791
0,1.77E+00,1.21E-04,0.01098348761
0,1.78E+00,1.23E-04,0.01107827604
0,1.79E+00,1.25E-04,0.0111729808
0,1.80E+00,1.27E-04,0.01126760844
0,1.81E+00,1.29E-04,0.01136215208
0,1.82E+00,1.31E-04,0.01145661817
0,1.83E+00,1.33E-04,0.01155100429
0,1.84E+00,1.36E-04,0.01164531236
0,1.85E+00,1.38E-04,0.01173954428
0,1.86E+00,1.40E-04,0.01183369765
0,1.87E+00,1.42E-04,0.01192777431
0,1.88E+00,1.45E-04,0.01202177608
0,1.89E+00,1.47E-04,0.01211570468
0,1.90E+00,1.49E-04,0.01220955364
0,1.91E+00,1.51E-04,0.01230332882
0,1.92E+00,1.54E-04,0.0123970319
0,1.93E+00,1.56E-04,0.01249066451
0,1.94E+00,1.58E-04,0.01258422028
0,1.95E+00,1.61E-04,0.01267770484
0,1.96E+00,1.63E-04,0.01277111585
0,1.97E+00,1.65E-04,0.01286445879
0,1.98E+00,1.68E-04,0.01295773128
0,1.99E+00,1.70E-04,0.013050931
0,2.00E+00,1.73E-04,0.01314405949
-2,0.00E+00,2.03E-12,0.000001425552524
-2,1.00E-02,2.05E-12,0.000001432550174
-2,2.00E-02,2.07E-12,0.000001439513807
-2,3.00E-02,2.09E-12,0.000001446443915
-2,4.00E-02,2.11E-12,0.000001453340979
-2,5.00E-02,2.13E-12,0.000001460205465
-2,6.00E-02,2.15E-12,0.000001467037832
